"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"CloneMap: A Clone-Aware Code Inspection Tool in Evolving Software","A. Fish; T. L. Nguyen; M. Song","Department of Computer Science, University of Nebraska, Omaha, NE, USA; Department of Computer Science, University of Nebraska, Omaha, NE, USA; Department of Computer Science, University of Nebraska, Omaha, NE, USA","2018 IEEE International Conference on Electro/Information Technology (EIT)","","2018","","","0368","0372","Mining software repositories is a frequent tactic in the evaluation of software in our research. Software modification of large code bases often consists of recurring changes, similar but slightly different changes across multiple locations and revisions. It is a high-effort, time consuming process for developers to find all the relevant locations to maintain such changes among bug-fixes, refactorings, and new code being added to the code base for new features. This process is highly error-prone leading to many mistakes, such as inconsistent or incorrect updates. To address this problem, we present a tool that helps developers ensure correctness of recurring changes to multiple locations in an evolving software. CloneMap is a clone-aware code inspection tool which allows developers to specify the older and newer revisions of a software. It then applies a clone detection technique to (1) mine repositories for extracting differences of recurring changes, (2) visualize the clone evolution, and (3) help developers focus their attention to potential anomalies, such as inconsistent and missing updates as the software evolves from one revision to the next.","2154-0373;2154-0357","978-1-5386-5398-2978-1-5386-5397-5978-1-5386-5399","10.1109/EIT.2018.8500143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8500143","","Cloning;Software;Tools;Computer bugs;Inspection;Visualization;Task analysis","data mining;inspection;program debugging;program diagnostics;program visualisation;software maintenance","clone-aware code inspection tool;clone detection technique;recurring changes;mining software repositories;software modification;code base;time consuming process;highly error-prone;clonemap;potential anomalies","","","12","","","","","","IEEE","IEEE Conferences"
"What makes a code review trustworthy?","S. Nelson; J. Schumann","NA; NA","37th Annual Hawaii International Conference on System Sciences, 2004. Proceedings of the","","2004","","","10 pp.","","Code review is an important step during the process of certifying safety-critical software because only code that passes review can be implemented. Reviews are performed by review boards composed of highly skilled and experienced computer scientists, engineers and analysts who generally rely upon a checklist of properties ranging from high-level requirements to minute language details. While many checklists and coding standards exist, the actual decision of which properties are most important is generally based on the experience of the person in charge. This paper addresses the questions: How can code review ensure certification of trustworthy code? and Is code review trustworthy? We surveyed technical leaders at NASA and the Aerospace industry to find out which properties are most important during the code review. To make analyze easier, the most common properties have been classified along different ""views"", ranging from a standards-oriented view (defined as the properties needed to satisfy a specific standard) to a tool-oriented view. In this paper, we present this classification together with a summary of findings and feed-back from the survey. We also discuss how a more uniform view on properties of code review and tool capabilities can result in increased trust for safety-critical software.","","0-7695-2056","10.1109/HICSS.2004.1265711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265711","","NASA;Software safety;Aerospace industry;Certification;Software tools;Code standards;Computer errors;High performance computing;Performance analysis;Software design","safety-critical software;certification","code review;safety-critical software;software certification;high-level requirements;coding standards;NASA;aerospace industry","","6","28","","","","","","IEEE","IEEE Conferences"
"How is IF Statement Fixed Through Code Review? A Case Study of Qt Project","Y. Ueda; A. Ihara; T. Hirao; T. Ishio; K. Matsumoto","NA; NA; NA; NA; NA","2017 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","","2017","","","207","213","Peer code review is key to ensuring the absence of software defects. To improve the review process, many code review tools provide OSS(Open Source Software) project CI(Continuous Integration) tests that automatically verify code quality issues such as a code convention issues. However, these tests do not cover project policy issues and a code readability issues. In this study, our main goal is to understand how a code owner fixes conditional statement issues based on reviewers feedback. We conduct an empirical study to understand if statement changes after review. Using 69,325 review requests in the Qt project, we analyze changes of the if conditional statements that (1) are requested to be reviewed, and (2) that are implemented after review. As a result, we find the most common symbolic changes are ""("" and "")"" (35%), ""!"" operator (20%) and ""->"" operator (12%). Also, ""!"" operator is frequently replaced with ""("" and "")"".","","978-1-5386-2387-9978-1-5386-2388","10.1109/ISSREW.2017.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109285","if statement;code review;conditional statement;static code analysis;fix detection","Software;Itemsets;Data mining;Tools;Syntactics;Manuals;Programming","program debugging;program testing;program verification;project management;public domain software;software quality;source code (software)","reviewers feedback;open source software;OSS;continuous integration;CI;code quality verification;code convention;project policy;code readability;code review tools;review process;software defects;peer code review;Qt project","","","26","","","","","","IEEE","IEEE Conferences"
"Identifying Software Process Management Challenges: Survey of Practitioners in a Large Global IT Company","M. Gupta; A. Sureka; S. Padmanabhuni; A. M. Asadullah","NA; NA; NA; NA","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","","2015","","","346","356","Process mining consists of mining event logs generated from business process execution supported by Information Systems (IS). Process mining of software repositories has diverse applications because vast data is generated during Software Development Life Cycle (SDLC) and archived in IS such as Version Control System (VCS), Peer Code Review (PCR) System, Issue Tracking System (ITS), and mail archives. There is need to explore its applications on different repositories to aid managers in process management. We conduct two phase surveys and interviews with managers in a large, global, IT company. The first survey and in-person interviews identify the process challenges encountered by them that can be addressed by novel applications of process mining. We filter, group and abstract responses formulating 30 generic problem statements. On the basis of process mining type, we classify identified problems to eight categories such as control analysis, organizational analysis, conformance analysis, and preventive analysis. The second survey asks distinct participants the importance of solving identified problems. We calculate proposed Net Importance Metric (NIM) using 1262 ratings from 43 participants. Combined analysis of NIM and first survey responses reveals that the problems mentioned by few practitioners in first survey are considered important by majority in the second survey. We elaborate on possible solutions and challenges for most frequent and important problems. We believe solving these validated problems will help managers in improving project quality and productivity.","2160-1852;2160-1860","978-0-7695-5594","10.1109/MSR.2015.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7180093","Process Mining;Qualitative Study;Software Development Life Cycle;Software Repositories","Data mining;Software;Process control;Interviews;Measurement;Companies","business process re-engineering;data mining;information systems;information technology;software process improvement","software process management;global IT company;process mining;event logs mining;business process execution;information systems;IS;software development life cycle;SDLC;net importance metric;NIM;project quality;productivity","","1","32","","","","","","IEEE","IEEE Conferences"
"Assessing the Effectiveness of a Distributed Method for Code Inspection: A Controlled Experiment","A. De Lucia; F. Fasano; G. Tortora; G. Scanniello","University of Salerno, Via Ponte Don Melillo; University of Salerno, Via Ponte Don Melillo; University of Salerno, Via Ponte Don Melillo; University of Basilicata, Viale Dell'Ateneo","International Conference on Global Software Engineering (ICGSE 2007)","","2007","","","252","261","We propose a distributed inspection method that tries to minimise the synchronous collaboration among team members to identify defects in software artefacts. The approach consists of identifying conflicts on the potential defects and then resolving them using an asynchronous discussion before performing a traditional synchronous meeting. This approach has been implemented in a Web based tool and assessed through a controlled experiment with master students in Computer Science at the University of Salerno. The tool presented provides automatic merge and conflict highlighting functionalities to support the inspectors during the pre-meeting refinement phase and provides the moderator with information about the inspection progress as a decision support. The tool also supports a synchronous inspection meeting to discuss about unsolved conflicts. However, by analysing the data collected during a controlled experiment we found that this phase can often be skipped due to the fact that asynchronous discussion resolved most of the conflicts.","2329-6305;2329-6313","0-7695-2920-8978-0-7695-2920","10.1109/ICGSE.2007.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4299861","","Inspection;Costs;Collaborative software;Automatic control;Software quality;Software engineering;Meeting planning;Process planning;Human resource management;Project management","program verification","code inspection;distributed inspection method;software defects identification;Salerno University","","4","26","","","","","","IEEE","IEEE Conferences"
"Teaching software quality via source code inspection tool","P. H. de Andrade Gomes; R. E. Garcia; G. Spadon; D. M. Eler; C. Olivete; R. C. M. Correia","São Paulo State University (UNESP) Faculty of Science and Technology - Presidente Prudente, São Paulo, Brazil, Department of Mathematics and Computer Science - Presidente Prudente-SP, Brazil; São Paulo State University (UNESP) Faculty of Science and Technology - Presidente Prudente, São Paulo, Brazil, Department of Mathematics and Computer Science - Presidente Prudente-SP, Brazil; São Paulo State University (UNESP) Faculty of Science and Technology - Presidente Prudente, São Paulo, Brazil, Department of Mathematics and Computer Science - Presidente Prudente-SP, Brazil; São Paulo State University (UNESP) Faculty of Science and Technology - Presidente Prudente, São Paulo, Brazil, Department of Mathematics and Computer Science - Presidente Prudente-SP, Brazil; São Paulo State University (UNESP) Faculty of Science and Technology - Presidente Prudente, São Paulo, Brazil, Department of Mathematics and Computer Science - Presidente Prudente-SP, Brazil; São Paulo State University (UNESP) Faculty of Science and Technology - Presidente Prudente, São Paulo, Brazil, Department of Mathematics and Computer Science - Presidente Prudente-SP, Brazil","2017 IEEE Frontiers in Education Conference (FIE)","","2017","","","1","8","Software Quality Assurance is a sub-process that ensures that developed software meets and complies with defined or standardized quality specifications. Focusing on source code, there are characteristics that can be used to evaluate the quality. Introductory courses must encourage freshmen students to improve internal quality of their source code, but only as sophomore they have contact with Software Engineering concepts, including Quality Assurance. In this paper we present a tool to source code quality evaluation aimed at supporting students to improve their source code and, consequently, their programming skills. The proposed tool uses quality reports (available to professional environment integrate with software repositories) to analyze students' source code and provide a feedback about the student coding. The proposed tool run locally, with few computational resources. In addition, we proposed the methodology to use the proposed tool: it consists of challenging students to perform a set of maintenance tasks in a controlled environment. We prepared a source code by introducing common defects, what decreases the quality of source code, and ask to students to perform maintenance tasks in order to both eliminate the introduced defects and introduce new features. After each modification, the students must evaluate their code using the proposed tool to obtain a feedback about quality of source code. To evaluate the approach and the tool, we created a survey and applied to students and the teacher. As a result, we show the benefits of using the proposed tool to both teachers and students perspectives. The results are positive to enhance the teaching-learning Software Quality Assurance to Software Engineering students.","","978-1-5090-5920-1978-1-5090-5919-5978-1-5090-4920","10.1109/FIE.2017.8190658","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190658","","Tools;Maintenance engineering;Computer bugs;Inspection;Software quality;Servers","computer aided instruction;computer science education;educational courses;educational institutions;engineering education;inspection;programming;software maintenance;software quality;teaching","quality reports;student coding;Software Engineering students;source code inspection tool;standardized quality specifications;internal quality;source code quality evaluation;Software Quality Assurance teaching;Software Quality Assurance learning;software quality teaching;source code quality;programming skills","","","30","","","","","","IEEE","IEEE Conferences"
"Code review analysis of software system using machine learning techniques","H. Lal; G. Pahwa","Aricent, Gurgaon, India; Aricent, Gurgaon, India","2017 11th International Conference on Intelligent Systems and Control (ISCO)","","2017","","","8","13","Code review is systematic examination of a software system's source code. It is intended to find mistakes overlooked in the initial development phase, improving the overall quality of software and reducing the risk of bugs among other benefits. Reviews are done in various forms such as pair programming, informal walk-through, and formal inspections. Code review has been found to accelerate and streamline the process of software development like very few other practices in software development can. In this paper we propose a machine learning approach for the code reviews in a software system. This would help in faster and a cleaner reviews of the checked in code. The proposed approach is evaluated for feasibility on an open source system eclipse. [1], [2], [3].","","978-1-5090-2717-0978-1-5090-2718","10.1109/ISCO.2017.7855962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7855962","Code Review;Software development process;Machine learning","Computer bugs;Software systems;Data models;Control systems;Predictive models;Standards","formal specification;learning (artificial intelligence);program diagnostics;public domain software;software quality","code review analysis;software system;machine learning techniques;source code;software quality;pair programming;informal walk-through;formal inspections;open source system eclipse","","1","19","","","","","","IEEE","IEEE Conferences"
"Supporting Automatic Code Review via Design","J. He; L. Wang; J. Zhao","NA; NA; NA","2013 IEEE Seventh International Conference on Software Security and Reliability Companion","","2013","","","211","218","Code review is a very important means to ensure the quality of code in practice. It has been widely used in industry since it was proposed. Nowadays code review is still mainly done by manual work in industry. However, increasing scale of the software challenges manual reviewing. So automating the code review process is highly desired. Design patterns are a set of summaries of code design experiences that are widely used repeatedly, and well classified. Programmers need to correctly implement code based on design patterns. To ensure that the code is implemented as expected, this paper proposes an approach to automatically review code in the view of specified design patterns. Firstly, we identify the design patterns that are specified in the design models. Second, we construct a set of review rules by extracting design constraints from identified design patterns. Last, the code is checked against the generated review rules, and inconsistencies are reported as result. A supporting tool was developed, and two experiments were conducted to demonstrate the applicability of our approach.","","978-1-4799-2925-2978-1-4799-2924","10.1109/SERE-C.2013.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6616346","Code Review;Design pattern;UML;Abstract Syntax Tree","Unified modeling language;Software;Abstracts;Syntactics;Concrete;XML;Java","software architecture;software quality;software reviews","automatic code review process;manual reviewing;design patterns;design constraint extraction;software quality","","","14","","","","","","IEEE","IEEE Conferences"
"When Does a Refactoring Induce Bugs? An Empirical Study","G. Bavota; B. De Carluccio; A. De Lucia; M. Di Penta; R. Oliveto; O. Strollo","NA; NA; NA; NA; NA; NA","2012 IEEE 12th International Working Conference on Source Code Analysis and Manipulation","","2012","","","104","113","Refactorings are - as defined by Fowler - behavior preserving source code transformations. Their main purpose is to improve maintainability or comprehensibility, or also reduce the code footprint if needed. In principle, refactorings are defined as simple operations so that are ""unlikely to go wrong"" and introduce faults. In practice, refactoring activities could have their risks, as other changes. This paper reports an empirical study carried out on three Java software systems, namely Apache Ant, Xerces, and Ar-go UML, aimed at investigating to what extent refactoring activities induce faults. Specifically, we automatically detect (and then manually validate) 15,008 refactoring operations (of 52 different kinds) using an existing tool (Ref-Finder). Then, we use the SZZ algorithm to determine whether it is likely that refactorings induced a fault. Results indicate that, while some kinds of refactorings are unlikely to be harmful, others, such as refactorings involving hierarchies (e.g., pull up method), tend to induce faults very frequently. This suggests more accurate code inspection or testing activities when such specific refactorings are performed.","","978-0-7695-4783-1978-1-4673-2398","10.1109/SCAM.2012.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392107","Refactoring;Fault-inducing changes;Mining software repositories;Empirical Studies","Computer bugs;Software systems;Java;Data mining;Context;Software algorithms","program debugging","refactoring induce bugs;empirical study;source code transformations;Java software systems;Apache Ant;Xerces;Argo UML;code inspection;testing activities","","33","24","","","","","","IEEE","IEEE Conferences"
"Search-Based Peer Reviewers Recommendation in Modern Code Review","A. Ouni; R. G. Kula; K. Inoue","NA; NA; NA","2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)","","2016","","","367","377","Code review is of primary importance in modern software development. It is widely recognized that peer review is an efficient and effective practice for improving software quality and reducing defect proneness. For successful review process, peer reviewers should have a deep experience and knowledge with the code being reviewed, and familiar to work and collaborate together. However, one of the main challenging tasks in modern code review is to find the most appropriate reviewers for submitted code changes. So far, reviewers assignment is still a manual, costly and time-consuming task. In this paper, we introduce a search-based approach, namely RevRec, to provide decision-making support for code change submitters and/or reviewers assigners to identify most appropriate peer reviewers for their code changes. RevRec aims at finding reviewers to be assigned for a code change based on their expertise and collaboration in past reviews using genetic algorithm (GA). We evaluated our approach on a benchmark of three open-source software systems, Android, OpenStack, and Qt. Results indicate that RevRec accurately recommends code reviewers with up to 59% of precision and 74% of recall. Our experiments provide evidence that leveraging reviewers expertise from their prior reviews and the socio-technical aspects of the team work and collaboration is relevant in improving the performance of peer reviewers recommendation in modern code review.","","978-1-5090-3806-0978-1-5090-3807","10.1109/ICSME.2016.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7816482","Code review;Reviewer recommendation;Search-based Software Engineeging","Search problems;Genetic algorithms;Software;Software engineering;Teamwork;Sociology","Android (operating system);decision making;genetic algorithms;public domain software;search problems;software quality;software reviews;source code (software);team working","search-based peer reviewer recommendation;code review;software development;peer review;software quality;search-based approach;RevRec;decision making support;genetic algorithm;open-source software systems;Android;OpenStack;team work socio-technical aspects;precision;recall;Qt","","3","41","","","","","","IEEE","IEEE Conferences"
"Evaluating how static analysis tools can reduce code review effort","D. Singh; V. R. Sekar; K. T. Stolee; B. Johnson","Department of Computer Science, North Carolina State University; Department of Computer Science, North Carolina State University; Department of Computer Science, North Carolina State University; College of Information and Computer Science, University of Massachusetts, Amherst","2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","","2017","","","101","105","Peer code reviews are important for giving and receiving peer feedback, but the code review process is time consuming. Static analysis tools can help reduce reviewer effort by catching common mistakes prior to peer code review. Ideally, contributors would use static analysis tools prior to pull request submission so common mistakes could be addressed first, before invoking the reviewer. To explore the potential efficiency gains for peer reviewers, we explore the overlap between reviewer comments on pull requests and warnings from the PMD static analysis tool. In an empirical study of 274 comments from 92 pull requests on GitHub, we observed that PMD overlapped with nearly 16% of the reviewer comments, indicating a time benefit to the reviewer if static analyzers would have been used prior to pull request submission. Using the non-overlapping set of comments, we identify four additional rules that, if implemented, could further reduce reviewer effort.","1943-6106","978-1-5386-0443-4978-1-5386-0444","10.1109/VLHCC.2017.8103456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103456","","Tools;Standards;Encoding;Java;Visualization;Manuals","program diagnostics;public domain software","static analysis tools;code review effort;peer code reviews;code review process;peer reviewers;reviewer comments;PMD static analysis tool;static analyzers;pull requests;GitHub","","1","24","","","","","","IEEE","IEEE Conferences"
"A Faceted Classification Scheme for Change-Based Industrial Code Review Processes","T. Baum; O. Liskin; K. Niklas; K. Schneider","NA; NA; NA; NA","2016 IEEE International Conference on Software Quality, Reliability and Security (QRS)","","2016","","","74","85","Code review in the industry today is different to code review twenty years ago. The process has become more lightweight, reviews are performed frequently and change-based and the use of specialized tools is increasing. An accurate view of the current state of the industrial practice is an indispensable foundation for improving it. Most recent descriptions of review practices come from a limited population of large hightech companies. Therefore, we used interviews with software engineering professionals from a broad sample of 19 companies to gain insight into their code review practices. We augmented our findings with data for 11 companies found through a semisystematic literature review. There are many commonalities in the code review processes of these companies, but also a lot of variation in the details. A simple process taxonomy cannot describe these variations adequately. Therefore, we present a faceted classification scheme that is grounded in our observations.","","978-1-5090-4127-5978-1-5090-4128","10.1109/QRS.2016.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7589787","Code Reviews;Code Inspections and Walkthroughs;Software Engineering Process;Empirical Software Engineering","Companies;Interviews;Software;Bibliographies;Inspection;Industries;Standards","pattern classification;software quality","faceted classification scheme;change-based industrial code review process;software engineering professionals;semisystematic literature review;process taxonomy","","8","38","","","","","","IEEE","IEEE Conferences"
"On the Optimal Order of Reading Source Code Changes for Review","T. Baum; K. Schneider; A. Bacchelli","NA; NA; NA","2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)","","2017","","","329","340","Change-based code review, e.g., in the form of pull requests, is the dominant style of code review in practice. An important option to improve review's efficiency is cognitive support for the reviewer. Nevertheless, review tools present the change parts under review sorted in alphabetical order of file path, thus leaving the effort of understanding the construction, connections, and logic of the changes on the reviewer. This leads to the question: How should a code review tool order the parts of a code change to best support the reviewer? We answer this question with a middle-range theory, which we generated inductively in a mixed methods study, based on interviews, an online survey, and existing findings from related areas. Our results indicate that an optimal order is mainly an optimal grouping of the change parts by relatedness. We present our findings as a collection of principles and formalize them as a partial order relation among review orders.","","978-1-5386-0992-7978-1-5386-0993","10.1109/ICSME.2017.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094433","Change-based code review;Modern code review;Pull-based development;Cognitive support review tools;Program comprehension","Interviews;Tools;Software;Navigation;Industries;Software engineering","program diagnostics;public domain software;software quality;source code (software)","optimal order;reviewer;review tools;change parts;alphabetical order;partial order relation;review orders;optimal grouping;middle-range theory;code review tool;review efficiency;change-based code review;source code change reading","","1","75","","","","","","IEEE","IEEE Conferences"
"A code inspection tool by mining recurring changes in evolving software","A. Fish; T. L. Nguyen; M. Song","Department of Computer Science, University of Nebraska, Omaha, NE, USA; Department of Computer Science, University of Nebraska, Omaha, NE, USA; Department of Computer Science, University of Nebraska, Omaha, NE, USA","2017 6th International Workshop on Software Mining (SoftwareMining)","","2017","","","48","51","Mining software repositories have frequently been investigated in recent research. Software modification in repositories are often recurring changes, similar but different changes across multiple locations. It is not easy for developers to find all the relevant locations to maintain such changes, including bug-fixes, new feature addition, and refactorings. Performing recurring changes is tedious and error-prone, resulting in in-consistent and missing updates. To address this problem, we present CloneMap, a clone-aware code inspection tool that helps developers ensure correctness of recurring changes to multiple locations in an evolving software. CloneMap allows developers to specify the old and new versions of a program. It then applies a clone detection technique to (1) mine repositories for extracting differences of recurring changes, (2) visualize the clone evolution, and (3) help developers focus their attention to potential anomalies, such as inconsistent and missing updates.","","978-1-5386-1389-4978-1-5386-1390","10.1109/SOFTWAREMINING.2017.8100853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8100853","","Cloning;Tools;Software;Inspection;Data visualization;Data mining;Visualization","data mining;inspection;program debugging;program diagnostics;program visualisation;software maintenance","multiple locations;clone-aware code inspection tool;evolving software;software modification;software repositories mining;recurring changes mining;bug-fixes;refactorings;CloneMap;new feature addition;clone detection technique;clone visualization;inconsistent updates;missing updates","","","14","","","","","","IEEE","IEEE Conferences"
"Code Review Quality: How Developers See It","O. Kononenko; O. Baysal; M. W. Godfrey","NA; NA; NA","2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE)","","2016","","","1028","1038","In a large, long-lived project, an effective code review process is key to ensuring the long-term quality of the code base. In this work, we study code review practices of a large, open source project, and we investigate how the developers themselves perceive code review quality. We present a qualitative study that summarizes the results from a survey of 88 Mozilla core developers. The results provide developer insights into how they define review quality, what factors contribute to how they evaluate submitted code, and what challenges they face when performing review tasks. We found that the review quality is primarily associated with the thoroughness of the feedback, the reviewer's familiarity with the code, and the perceived quality of the code itself. Also, we found that while different factors are perceived to contribute to the review quality, reviewers often find it difficult to keep their technical skills up-to-date, manage personal priorities, and mitigate context switching.","1558-1225","978-1-4503-3900-1978-1-5090-2071","10.1145/2884781.2884840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886977","Code review;review quality;survey;developer perception","Software;Data mining;Computer science;Face;Computer bugs;Measurement;Electronic mail","software quality","effective code review process;long-term quality;Mozilla core developers;open source project","","6","32","","","","","","IEEE","IEEE Conferences"
"Evaluation of design and code revisions in academic practices of software engineering","L. B. Angarita; J. P. L. Tovar","Universidad Nacional de Colombia - Sede Manizales, Departamento de Informática y Computación, Manizales, Colombia; Universidad Nacional de Colombia - Sede Manizales, Departamento de Informática y Computación, Manizales, Colombia","2017 6th International Conference on Software Process Improvement (CIMPS)","","2017","","","1","8","Personal Software Process (PSP) is a process that develops individual skills in software engineers to control and improve the quality of their work practices. This paper presents an evaluative study on the effectiveness of design and code reviews includes into the PSP development activities. The study carried out with students of the Management Information Systems in National University of Colombia - Manizales. An experiment was designed to develop a program using PSP scripts forms standards and measures. The program was developed by two groups of students one group used the revisions and the other did not. Test hypotheses carried out show that there are no significant differences in the effectiveness of PSP code and design revisions compared to traditional development in which no revisions are made. However design and code reviews achieved to eliminate defects in the early stages effectively. This work benefits software engineers to know the effectiveness of design and code reviews from an empirical point of view.","","978-1-5386-3230-7978-1-5386-3229-1978-1-5386-3231","10.1109/CIMPS.2017.8169951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169951","Personal software process;design review;code review","Software;Software engineering;Process control;Silicon compounds;Management information systems;Standards;Knowledge engineering","computer science education;management information systems;software process improvement;standards","PSP development activities;Management Information Systems;measures;design revisions;traditional development;code reviews;software engineers;code revisions;academic practices;software engineering;evaluative study;PSP code;test hypothesis;standards;PSP scripts;Manizales;National University of Colombia;work practice quality;personal software process;design evaluation","","","","","","","","","IEEE","IEEE Conferences"
"Lessons Learned from Building and Deploying a Code Review Analytics Platform","C. Bird; T. Carnahan; M. Greiler","NA; NA; NA","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","","2015","","","191","201","Tool-based code review is growing in popularity and has become a standard part of the development process at Mi-crosoft. Adoption of these tools makes it possible to mine data from code reviews and provide access to it. In this paper, we pre-sent an experience report for CodeFlow Analytics, a system that collects code review data, generates metrics from this data, and provides a number of ways for development teams to access the metrics and data. We discuss the design, design decisions and chal-lenges that we encountered when building CodeFlow Analytics. We contacted teams that used CodeFlow Analytics over the past two years and discuss what prompted them to use CodeFlow Ana-lytics, how they have used it, and what the impact has been. Fur-ther, we survey research that has been enabled by using the Code-Flow Analytics platform. We provide a series of lessons learned from this experience to help others embarking on a task of building an analytics platform in an enterprise setting.","2160-1852;2160-1860","978-0-7695-5594","10.1109/MSR.2015.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7180079","","Measurement;Interviews;Databases;Software;Servers;Computational modeling;Data mining","data mining;program diagnostics","code review analytics platform;tool-based code review;Microsoft;data mining;CodeFlow analytics;design decisions;enterprise setting;analytics platform","","5","29","","","","","","IEEE","IEEE Conferences"
"Do code review practices impact design quality? A case study of the Qt, VTK, and ITK projects","R. Morales; S. McIntosh; F. Khomh","SWAT, Polytechnique Montr&#x00E9;al, Canada; School of Computing, Queen's University, Canada; SWAT, Polytechnique Montr&#x00E9;al, Canada","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","","2015","","","171","180","Code review is the process of having other team members examine changes to a software system in order to evaluate its technical content and quality. A lightweight variant of this practice, often referred to as Modern Code Review (MCR), is widely adopted by software organizations today. Previous studies have established a relation between the practice of code review and the occurrence of post-release bugs. While the prior work studies the impact of code review practices on software release quality, it is still unclear what impact code review practices have on software design quality. Therefore, using the occurrence of 7 different types of anti-patterns (i.e., poor solutions to design and implementation problems) as a proxy for software design quality, we set out to investigate the relationship between code review practices and software design quality. Through a case study of the Qt, VTK and ITK open source projects, we find that software components with low review coverage or low review participation are often more prone to the occurrence of anti-patterns than those components with more active code review practices.","1534-5351","978-1-4799-8469","10.1109/SANER.2015.7081827","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081827","","Software systems;Measurement;Analytical models;Software design;Complexity theory;Correlation","object-oriented programming;software quality","code review practice;software design quality;Qt project;VTK project;ITK project;software system;modern code review;post-release bugs;software release quality;open source project;software components","","22","42","","","","","","IEEE","IEEE Conferences"
"Code review: Veni, ViDI, vici","Y. Tymchuk; A. Mocci; M. Lanza","REVEAL @ Faculty of Informatics - University of Lugano, Switzerland; REVEAL @ Faculty of Informatics - University of Lugano, Switzerland; REVEAL @ Faculty of Informatics - University of Lugano, Switzerland","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","","2015","","","151","160","Modern software development sees code review as a crucial part of the process, because not only does it facilitate the sharing of knowledge about the system at hand, but it may also lead to the early detection of defects, ultimately improving the quality of the produced software. Although supported by numerous approaches and tools, code review is still in its infancy, and indeed researchers have pointed out a number of shortcomings in the state of the art. We present a critical analysis of the state of the art of code review tools and techniques, extracting a set of desired features that code review tools should possess. We then present our vision and initial implementation of a novel code review approach named Visual Design Inspection (ViDI), illustrated through a set of usage scenarios. ViDI is based on a combination of visualization techniques, design heuristics, and static code analysis techniques.","1534-5351","978-1-4799-8469","10.1109/SANER.2015.7081825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081825","","Feature extraction;Visualization;Birds;Software quality;Navigation;Inspection","program diagnostics;program visualisation;software quality","software development;knowledge sharing;defect detection;software quality;code review tools;code review techniques;visual design inspection;ViDI;visualization techniques;design heuristics;static code analysis technique","","1","24","","","","","","IEEE","IEEE Conferences"
