"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3145488","Jan  H&#252;ckelheim and Ziqing  Luo and Fabio  Luporini and Navjot  Kukreja and Michael  Lange and Gerard  Gorman and Stephen  Siegel and Matthew  Dwyer and Paul  Hovland","","","","Towards Self-Verification in Finite Difference Code Generation","42--49","","8","Code generation, Equivalence checking, Formal methods, HPC, Specification, Symbolic execution, Verification","10.1145/3145344.3145488","","","","","","","2017","","Proceedings of the First International Workshop on Software Correctness for HPC Applications","Correctness'17","","978-1-4503-5127-0","Denver, CO, USA","ACM","New York, NY, USA"
"article","1640010","Dale  Skrien and Carl  Alphonce and Adrienne  Decker and J&#252;rgen  B&#246;rstler and Michael E. Caspersen","","","","The Eighth Killer Examples Workshop: Good Examples for Exposing Bad Practice","777--778","","2","learning, object-orientation, pedagogy, process, programming, teaching","10.1145/1639950.1640010","","","","","","","2009","","Proceedings of the 24th ACM SIGPLAN Conference Companion on Object Oriented Programming Systems Languages and Applications","OOPSLA '09","","978-1-60558-768-4","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","2337497","Brittany  Johnson","","","","A Study on Improving Static Analysis Tools: Why Are We Not Using Them?","1607--1609","","3","","","","","","","","","2012","","Proceedings of the 34th International Conference on Software Engineering","ICSE '12","","978-1-4673-1067-3","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","1863489","Oleg  Lobachev and Rita  Loogen","","","","Estimating Parallel Performance, a Skeleton-based Approach","25--34","","10","algorithmic skeletons, amdahl's law, forecasting, parallel runtime, polynomial regression, runtime estimation, scalability measure, serial fraction","10.1145/1863482.1863489","","","","","","","2010","","Proceedings of the Fourth International Workshop on High-level Parallel Programming and Applications","HLPP '10","","978-1-4503-0254-8","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","1988687","Jo  Van Eyck and Nelis  Bouck&#233; and Alexander  Helleboogh and Tom  Holvoet","","","","Using Code Analysis Tools for Architectural Conformance Checking","53--54","","2","architectural constraints, code analysis tool, conformance checking, software architecture","10.1145/1988676.1988687","","","","","","","2011","","Proceedings of the 6th International Workshop on SHAring and Reusing Architectural Knowledge","SHARK '11","","978-1-4503-0596-9","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","2819125","Latifa  Guerrouj and David  Bourque and Peter C. Rigby","","","","Leveraging Informal Documentation to Summarize Classes and Methods in Context","639--642","","4","","","","","","","","","2015","","Proceedings of the 37th International Conference on Software Engineering - Volume 2","ICSE '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","2994156","Caitlin  Sadowski","","","","Developer Workflow at Google (Showcase)","26--26","","1","Developer tools, developer workflow","10.1145/2950290.2994156","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
"article","3120468","Thorsten  Haendler and Stefan  Sobernig and Mark  Strembeck","","","","Towards Triaging Code-smell Candidates via Runtime Scenarios and Method-call Dependencies","8:1--8:9","8","9","code smell, decision support, dependency structure matrix, design documentation, execution trace, scenario-based testing, software behavior, technical debt, unified modeling language (UML2)","10.1145/3120459.3120468","","","","","","","2017","","Proceedings of the XP2017 Scientific Workshops","XP '17","","978-1-4503-5264-2","Cologne, Germany","ACM","New York, NY, USA"
"article","1774574","Stefan  Sobernig","","","","Feature Interaction Networks","2360--2364","","5","abstraction mismatch, feature interaction, feature location, feature-oriented software development, network analysis","10.1145/1774088.1774574","","","","","","","2010","","Proceedings of the 2010 ACM Symposium on Applied Computing","SAC '10","","978-1-60558-639-7","Sierre, Switzerland","ACM","New York, NY, USA"
"article","3202694","Zhenhui  Peng and Jeehoon  Yoo and Meng  Xia and Sunghun  Kim and Xiaojuan  Ma","","","","Exploring How Software Developers Work with Mention Bot in GitHub","152--155","","4","Automatic reviewer recommendation services, mixed-methods, software development platform, user experience","10.1145/3202667.3202694","","","","","","","2018","","Proceedings of the Sixth International Symposium of Chinese CHI","ChineseCHI '18","","978-1-4503-6508-6","Montreal, QC, Canada","ACM","New York, NY, USA"
"article","1254787","Daniel  Kaestner","","","","Safe Worst-case Execution Time Analysis by Abstract Interpretation of Executable Code","135--135","","1","","10.1145/1273444.1254787","SIGPLAN Not.","July 2007","42","7","","June","2007","0362-1340","","","","","","ACM","New York, NY, USA"
"article","1254787","Daniel  Kaestner","","","","Safe Worst-case Execution Time Analysis by Abstract Interpretation of Executable Code","135--135","","1","","10.1145/1254766.1254787","","","","","","","2007","","Proceedings of the 2007 ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems","LCTES '07","","978-1-59593-632-5","San Diego, California, USA","ACM","New York, NY, USA"
"article","582136","Rog&#233;rio  de Lemos and Jos&#233; Luiz Fiadeiro","","","","An Architectural Support for Self-adaptive Software for Treating Faults","39--42","","4","dependability, dynamic adaptation, fault tolerance, fault treatment, software architectures","10.1145/582128.582136","","","","","","","2002","","Proceedings of the First Workshop on Self-healing Systems","WOSS '02","","1-58113-609-9","Charleston, South Carolina","ACM","New York, NY, USA"
"article","2491512","Wei  Le and Mary Lou Soffa","","","","Marple: Detecting Faults in Path Segments Using Automatically Generated Analyses","18:1--18:38","18","38","Path segments, demand-driven, faults, specification","10.1145/2491509.2491512","ACM Trans. Softw. Eng. Methodol.","July 2013","22","3","","July","2013","1049-331X","","","","","","ACM","New York, NY, USA"
"article","2972218","Baltasar Tranc&#243;n y Widemann and Markus  Lepper","","","","LLJava: Minimalist Structured Programming on the Java Virtual Machine [Work-in-Progress Research Paper]","17:1--17:6","17","6","Java virtual machine, assembler/disassembler, bytecode, code model, ergonomics","10.1145/2972206.2972218","","","","","","","2016","","Proceedings of the 13th International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools","PPPJ '16","","978-1-4503-4135-6","Lugano, Switzerland","ACM","New York, NY, USA"
"article","979947","David  Cooper and Benjamin  Khoo and Brian R. von Konsky and Michael  Robey","","","","Java Implementation Verification Using Reverse Engineering","203--211","","9","","","","","","","","","2004","","Proceedings of the 27th Australasian Conference on Computer Science - Volume 26","ACSC '04","","","Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1122081","Gerald F. Gattis and Thomas J. Cheatham","","","","Testing Object-oriented Software","285--286","","2","","10.1145/1122018.1122081","","","","","","","1995","","Proceedings of the 33rd Annual on Southeast Regional Conference","ACM-SE 33","","0-89791747-2","Clemson, South Carolina","ACM","New York, NY, USA"
"article","3239403","Florian  Zoubek and Philip  Langer and Tanja  Mayerhofer","","","","Visualizations of Evolving Graphical Models in the Context of Model Review","381--391","","11","","10.1145/3239372.3239403","","","","","","","2018","","Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems","MODELS '18","","978-1-4503-4949-9","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","3103045","Erik H. Trainer and Arun  Kalyanasundaram and James D. Herbsleb","","","","e-Mentoring for Software Engineering: A Socio-technical Perspective","107--116","","10","e-mentoring, expressive ties, free and open-source software, instrumental ties, qualitative methods, tie content","10.1109/ICSE-SEET.2017.19","","","","","","","2017","","Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track","ICSE-SEET '17","","978-1-5386-2671-9","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","2812703","Marco  Pistoia","","","","Program Analysis for Mobile Application Integrity and Privacy Enforcement","1698--1699","","2","dynamic analysis, mobile, privacy, security, static analysis","10.1145/2810103.2812703","","","","","","","2015","","Proceedings of the 22Nd ACM SIGSAC Conference on Computer and Communications Security","CCS '15","","978-1-4503-3832-5","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2591080","Monika  Gupta","","","","Nirikshan: Process Mining Software Repositories to Identify Inefficiencies, Imperfections, and Enhance Existing Process Capabilities","658--661","","4","Business Process Intelligence, Empirical Software Engineering and Measurements, Mining Software Repositories, Open-Source Software, Process Mining","10.1145/2591062.2591080","","","","","","","2014","","Companion Proceedings of the 36th International Conference on Software Engineering","ICSE Companion 2014","","978-1-4503-2768-8","Hyderabad, India","ACM","New York, NY, USA"
"article","2486877","Brittany  Johnson and Yoonki  Song and Emerson  Murphy-Hill and Robert  Bowdidge","","","","Why Don&#039;T Software Developers Use Static Analysis Tools to Find Bugs?","672--681","","10","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","2785617","Myroslava  Stavnycha and Huishi  Yin and Toomas  R&#246;mer","","","","A Large-scale Survey on the Effects of Selected Development Practices on Software Correctness","117--121","","5","Development practices, Software correctness, Survey study","10.1145/2785592.2785617","","","","","","","2015","","Proceedings of the 2015 International Conference on Software and System Process","ICSSP 2015","","978-1-4503-3346-7","Tallinn, Estonia","ACM","New York, NY, USA"
"article","3141856","Phyllipe  Lima and Eduardo  Guerra and Marco  Nardes and Andrea  Mocci and Gabriele  Bavota and Michele  Lanza","","","","An Annotation-based API for Supporting Runtime Code Annotation Reading","6--14","","9","code annotation, framework development, metadata","10.1145/3141517.3141856","","","","","","","2017","","Proceedings of the 2Nd ACM SIGPLAN International Workshop on Meta-Programming Techniques and Reflection","Meta 2017","","978-1-4503-5523-0","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2699417","Chris  Newcombe and Tim  Rath and Fan  Zhang and Bogdan  Munteanu and Marc  Brooker and Michael  Deardeuff","","","","How Amazon Web Services Uses Formal Methods","66--73","","8","","10.1145/2699417","Commun. ACM","April 2015","58","4","","March","2015","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2820560","Monika  Gupta and Ashish  Sureka and Srinivas  Padmanabhuni and Allahbaksh Mohammedali Asadullah","","","","Identifying Software Process Management Challenges: Survey of Practitioners in a Large Global IT Company","346--356","","11","process mining, qualitative study, software development life cycle, software repositories","","","","","","","","2015","","Proceedings of the 12th Working Conference on Mining Software Repositories","MSR '15","","978-0-7695-5594-2","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","3092719","Alex  Gyori and Shuvendu K.  Lahiri and Nimrod  Partush","","","","Refining Interprocedural Change-impact Analysis Using Equivalence Relations","318--328","","11","Static analysis, program verification, software change","10.1145/3092703.3092719","","","","","","","2017","","Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis","ISSTA 2017","","978-1-4503-5076-1","Santa Barbara, CA, USA","ACM","New York, NY, USA"
"article","1669181","Brandon  Lucia and Luis  Ceze","","","","Finding Concurrency Bugs with Context-aware Communication Graphs","553--563","","11","","10.1145/1669112.1669181","","","","","","","2009","","Proceedings of the 42Nd Annual IEEE/ACM International Symposium on Microarchitecture","MICRO 42","","978-1-60558-798-1","New York, New York","ACM","New York, NY, USA"
"article","3238219","Kaifeng  Huang and Bihuan  Chen and Xin  Peng and Daihong  Zhou and Ying  Wang and Yang  Liu and Wenyun  Zhao","","","","ClDiff: Generating Concise Linked Code Differences","679--690","","12","AST, Code Differencing, Program Comprehension","10.1145/3238147.3238219","","","","","","","2018","","Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering","ASE 2018","","978-1-4503-5937-5","Montpellier, France","ACM","New York, NY, USA"
"article","2487000","Yiyang  Hao and Ge  Li and Lili  Mou and Lu  Zhang and Zhi  Jin","","","","MCT: A Tool for Commenting Programs by Multimedia Comments","1339--1342","","4","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","1297897","Nathaniel  Ayewah and William  Pugh and J. David Morgenthaler and John  Penix and YuQian  Zhou","","","","Using FindBugs on Production Software","805--806","","2","FindBugs, Google, Java, bug patterns, bugs, false positives, software defects, software quality, static analysis","10.1145/1297846.1297897","","","","","","","2007","","Companion to the 22Nd ACM SIGPLAN Conference on Object-oriented Programming Systems and Applications Companion","OOPSLA '07","","978-1-59593-865-7","Montreal, Quebec, Canada","ACM","New York, NY, USA"
"article","2677274","Robin  Flatland and Darren  Lim and James  Matthews and Scott  Vandenberg","","","","Supporting CS10K: A New Computer Science Methods Course for Mathematics Education Students","302--307","","6","advance placement computer science, cs principles, cs10k, methods course, snap!","10.1145/2676723.2677274","","","","","","","2015","","Proceedings of the 46th ACM Technical Symposium on Computer Science Education","SIGCSE '15","","978-1-4503-2966-8","Kansas City, Missouri, USA","ACM","New York, NY, USA"
"article","2662728","Andrew  Fischer","","","","Introducing Circa: A Dataflow-based Language for Live Coding","5--8","","4","dataflow programming, live coding","","","","","","","","2013","","Proceedings of the 1st International Workshop on Live Programming","LIVE '13","","978-1-4673-6265-8","San Francisco, California","IEEE Press","Piscataway, NJ, USA"
"article","2660337","Maliheh  Monshizadeh and Prasad  Naldurg and V. N. Venkatakrishnan","","","","MACE: Detecting Privilege Escalation Vulnerabilities in Web Applications","690--701","","12","access control, authorization, web security","10.1145/2660267.2660337","","","","","","","2014","","Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security","CCS '14","","978-1-4503-2957-6","Scottsdale, Arizona, USA","ACM","New York, NY, USA"
"article","3084262","Ana  Silva and Thalles  Ara&#250;jo and Jo&#227;o  Nunes and Mirko  Perkusich and Ednaldo  Dilorenzo and Hyggo  Almeida and Angelo  Perkusich","","","","A Systematic Review on the Use of Definition of Done on Agile Software Development Projects","364--373","","10","Agile Software Development, Definition of Done, Systematic Literature Review","10.1145/3084226.3084262","","","","","","","2017","","Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering","EASE'17","","978-1-4503-4804-1","Karlskrona, Sweden","ACM","New York, NY, USA"
"article","1960335","Leandra  Mara and Gustavo  Honorato and Francisco Dantas Medeiros and Alessandro  Garcia and Carlos  Lucena","","","","Hist-Inspect: A Tool for History-sensitive Detection of Code Smells","65--66","","2","detection strategy, metrics","10.1145/1960314.1960335","","","","","","","2011","","Proceedings of the Tenth International Conference on Aspect-oriented Software Development Companion","AOSD '11","","978-1-4503-0606-5","Porto de Galinhas, Brazil","ACM","New York, NY, USA"
"article","2846707","Pedram  Mir Seyed Nazari and Alexander  Roth and Bernhard  Rumpe","","","","Mixed Generative and Handcoded Development of Adaptable Data-centric Business Applications","43--44","","2","Data-centric Business Application, Generative Development","10.1145/2846696.2846707","","","","","","","2015","","Proceedings of the Workshop on Domain-Specific Modeling","DSM 2015","","978-1-4503-3903-2","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","2813604","Henning  Perl and Sergej  Dechand and Matthew  Smith and Daniel  Arp and Fabian  Yamaguchi and Konrad  Rieck and Sascha  Fahl and Yasemin  Acar","","","","VCCFinder: Finding Potential Vulnerabilities in Open-Source Projects to Assist Code Audits","426--437","","12","machine learning, static analysis, vulnerabilities","10.1145/2810103.2813604","","","","","","","2015","","Proceedings of the 22Nd ACM SIGSAC Conference on Computer and Communications Security","CCS '15","","978-1-4503-3832-5","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2663905","Radu  Vanciu and Ebrahim  Khalaj and Marwan  Abi-Antoun","","","","Comparative Evaluation of Architectural and Code-Level Approaches for Finding Security Vulnerabilities","27--34","","8","","10.1145/2663887.2663905","","","","","","","2014","","Proceedings of the 2014 ACM Workshop on Security Information Workers","SIW '14","","978-1-4503-3152-4","Scottsdale, Arizona, USA","ACM","New York, NY, USA"
"article","2025119","Christian  Bird and Nachiappan  Nagappan and Brendan  Murphy and Harald  Gall and Premkumar  Devanbu","","","","Don'T Touch My Code!: Examining the Effects of Ownership on Software Quality","4--14","","11","emprical software engineering, expertise, ownership, quality","10.1145/2025113.2025119","","","","","","","2011","","Proceedings of the 19th ACM SIGSOFT Symposium and the 13th European Conference on Foundations of Software Engineering","ESEC/FSE '11","","978-1-4503-0443-6","Szeged, Hungary","ACM","New York, NY, USA"
"article","2635874","Xin  Ye and Razvan  Bunescu and Chang  Liu","","","","Learning to Rank Relevant Files for Bug Reports Using Domain Knowledge","689--699","","11","bug reports, learning to rank, software maintenance","10.1145/2635868.2635874","","","","","","","2014","","Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2014","","978-1-4503-3056-5","Hong Kong, China","ACM","New York, NY, USA"
"article","3196404","Guillermo  de la Torre and Romain  Robbes and Alexandre  Bergel","","","","Imprecisions Diagnostic in Source Code Deltas","492--502","","11","differencing, gumtree, quality, source code change detection","10.1145/3196398.3196404","","","","","","","2018","","Proceedings of the 15th International Conference on Mining Software Repositories","MSR '18","","978-1-4503-5716-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3053038","Ivan  Pustogarov and Thomas  Ristenpart and Vitaly  Shmatikov","","","","Using Program Analysis to Synthesize Sensor Spoofing Attacks","757--770","","14","embedded systems, signal spoofing, symbolic execution","10.1145/3052973.3053038","","","","","","","2017","","Proceedings of the 2017 ACM on Asia Conference on Computer and Communications Security","ASIA CCS '17","","978-1-4503-4944-4","Abu Dhabi, United Arab Emirates","ACM","New York, NY, USA"
"article","1138483","Ingo  St&#252;rmer and Mirko  Conrad and Ines  Fey and Heiko  D&#246;rr","","","","Experiences with Model and Autocode Reviews in Model-based Software Development","45--52","","8","autocode review, automatic code generation, complexity, model review, model-based development, modeling guidelines, simulink, stateflow, testing","10.1145/1138474.1138483","","","","","","","2006","","Proceedings of the 2006 International Workshop on Software Engineering for Automotive Systems","SEAS '06","","1-59593-402-2","Shanghai, China","ACM","New York, NY, USA"
"article","3023266","Jungkook  Park and Yeong Hoon  Park and Suin  Kim and Alice  Oh","","","","Eliph: Effective Visualization of Code History for Peer Assessment in Programming Education","33--36","","4","code history, data visualization, peer assessment, peer review, time series visualization","10.1145/3022198.3023266","","","","","","","2017","","Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing","CSCW '17 Companion","","978-1-4503-4688-7","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","202474","Dawson R. Engler and M. Frans Kaashoek and James W. O'Toole,Jr.","","","","The Operating System Kernel As a Secure Programmable Machine","78--82","","5","","10.1145/202453.202474","SIGOPS Oper. Syst. Rev.","Jan. 1995","29","1","","January","1995","0163-5980","","","","","","ACM","New York, NY, USA"
"article","3240729","Carmine  Vassallo and Fabio  Palomba and Alberto  Bacchelli and Harald C.  Gall","","","","Continuous Code Quality: Are We (Really) Doing That?","790--795","","6","Code Quality, Continuous Integration, Empirical Studies","10.1145/3238147.3240729","","","","","","","2018","","Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering","ASE 2018","","978-1-4503-5937-5","Montpellier, France","ACM","New York, NY, USA"
"article","1341854","S. Masoud Sadjadi and Liana  Fong and Rosa M. Badia and Javier  Figueroa and Javier  Delgado and Xabriel J. Collazo-Mojica and Khalid  Saleem and Raju  Rangaswami and Shu  Shimizu and Hector A. Duran Limon and Pat  Welsh and Sandeep  Pattnaik and Anthony  Praino and David  Villegas and Selim  Kalayci and Gargi  Dasgupta and Onyeka  Ezenwoye and Juan Carlos Martinez and Ivan  Rodero and Shuyi  Chen and Javier  Mu&#241;oz and Diego  Lopez and Julita  Corbalan and Hugh  Willoughby and Michael  McFail and Christine  Lisetti and Malek  Adjouadi","","","","Transparent Grid Enablement of Weather Research and Forecasting","39:1--39:8","39","8","WRF, grid enablement, job flow management, meta-scheduling, modeling, portal, profiling, scientific applications","10.1145/1341811.1341854","","","","","","","2008","","Proceedings of the 15th ACM Mardi Gras Conference: From Lightweight Mash-ups to Lambda Grids: Understanding the Spectrum of Distributed Computing Requirements, Applications, Tools, Infrastructures, Interoperability, and the Incremental Adoption of Key Capabilities","MG '08","","978-1-59593-835-0","Baton Rouge, Louisiana, USA","ACM","New York, NY, USA"
"article","1988632","Yonghee  Shin and Laurie  Williams","","","","An Initial Study on the Use of Execution Complexity Metrics As Indicators of Software Vulnerabilities","1--7","","7","complexity metrics, execution metrics, software security, software vulnerability prediction","10.1145/1988630.1988632","","","","","","","2011","","Proceedings of the 7th International Workshop on Software Engineering for Secure Systems","SESS '11","","978-1-4503-0581-5","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","2661682","Xin  Yang","","","","Social Network Analysis in Open Source Software Peer Review","820--822","","3","open source, peer review, social network","10.1145/2635868.2661682","","","","","","","2014","","Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2014","","978-1-4503-3056-5","Hong Kong, China","ACM","New York, NY, USA"
"article","2891055","Latifa  Guerrouj and Olga  Baysal and David  Lo and Foutse  Khomh","","","","Software Analytics: Challenges and Opportunities","902--903","","2","","10.1145/2889160.2891055","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering Companion","ICSE '16","","978-1-4503-4205-6","Austin, Texas","ACM","New York, NY, USA"
"article","2983960","Motahareh Bahrami  Zanjani","","","","Effective Assignment and Assistance to Software Developers and Reviewers","1091--1093","","3","Developer Recommendation, Reviewer recommendation","10.1145/2950290.2983960","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
"article","3022037","Eduardo  Fernandes and Fischer  Ferreira and Joao A. Netto and Eduardo  Figueiredo","","","","Information Systems Development with Pair Programming: An Academic Quasi-Experiment","64:486--64:493","64","8","Information systems, academic context, pair programming, software development, superior education","","","","","","","","2016","","Proceedings of the XII Brazilian Symposium on Information Systems on Brazilian Symposium on Information Systems: Information Systems in the Cloud Computing Era - Volume 1","SBSI 2016","","978-85-7669-317-8","Florianopolis, Santa Catarina, Brazil","Brazilian Computer Society","Porto Alegre, Brazil, Brazil"
"article","2555036","Manuele  Ferreira and Eiji  Barbosa and Isela  Macia and Roberta  Arcoverde and Alessandro  Garcia","","","","Detecting Architecturally-relevant Code Anomalies: A Case Study of Effectiveness and Effort","1158--1163","","6","architectural degeneration, code anomaly, effectiveness, effort","10.1145/2554850.2555036","","","","","","","2014","","Proceedings of the 29th Annual ACM Symposium on Applied Computing","SAC '14","","978-1-4503-2469-4","Gyeongju, Republic of Korea","ACM","New York, NY, USA"
"article","1248917","Li-Te  Cheng and Michael  Desmond and Margaret-Anne  Storey","","","","Presentations by Programmers for Programmers","788--792","","5","","10.1109/ICSE.2007.67","","","","","","","2007","","Proceedings of the 29th International Conference on Software Engineering","ICSE '07","","0-7695-2828-7","","IEEE Computer Society","Washington, DC, USA"
"article","3106258","Song  Wang and Jaechang  Nam and Lin  Tan","","","","QTEP: Quality-aware Test Case Prioritization","523--534","","12","Test case prioritization, defect prediction, static bug finder","10.1145/3106237.3106258","","","","","","","2017","","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","ESEC/FSE 2017","","978-1-4503-5105-8","Paderborn, Germany","ACM","New York, NY, USA"
"article","2819129","Yuriy  Tymchuk and Andrea  Mocci and Michele  Lanza","","","","ViDI: The Visual Design Inspector","653--656","","4","","","","","","","","","2015","","Proceedings of the 37th International Conference on Software Engineering - Volume 2","ICSE '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","3183521","Goran  Petrovi&#263; and Marko  Ivankovi&#263;","","","","State of Mutation Testing at Google","163--171","","9","","10.1145/3183519.3183521","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: Software Engineering in Practice","ICSE-SEIP '18","","978-1-4503-5659-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2560218","Gerard J. Holzmann","","","","Mars Code","64--73","","10","","10.1145/2560217.2560218","Commun. ACM","February 2014","57","2","","February","2014","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2962591","Yu  Zhao and Feng  Zhang and Emad  Shihab and Ying  Zou and Ahmed E. Hassan","","","","How Are Discussions Associated with Bug Reworking?: An Empirical Study on Open Source Projects","21:1--21:10","21","10","Latent Dirichlet Allocation, bug reworking, discussions, re-open, re-patch","10.1145/2961111.2962591","","","","","","","2016","","Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '16","","978-1-4503-4427-2","Ciudad Real, Spain","ACM","New York, NY, USA"
"article","1159762","Christian  Denger and Ronny  Kolb","","","","Testing and Inspecting Reusable Product Line Components: First Empirical Results","184--193","","10","controlled experiment, functional testing, inspection, quality assurance, reusable components, software product line","10.1145/1159733.1159762","","","","","","","2006","","Proceedings of the 2006 ACM/IEEE International Symposium on Empirical Software Engineering","ISESE '06","","1-59593-218-6","Rio de Janeiro, Brazil","ACM","New York, NY, USA"
"article","2175013","Karsten  Sohr and Bernhard  Berger","","","","Idea: Towards Architecture-centric Security Analysis of Software","70--78","","9","","10.1007/978-3-642-11747-3_6","","","","","","","2010","","Proceedings of the Second International Conference on Engineering Secure Software and Systems","ESSoS'10","","3-642-11746-5, 978-3-642-11746-6","Pisa, Italy","Springer-Verlag","Berlin, Heidelberg"
"article","2889455","Tomas  Tauber and Bruno C. d. S.  Oliveira","","","","Modular Architecture for Code and Metadata Sharing","106--117","","12","Haknam, Haskell, code slice, event log, evidence, fragmented code distribution, tags","10.1145/2889443.2889455","","","","","","","2016","","Proceedings of the 15th International Conference on Modularity","MODULARITY 2016","","978-1-4503-3995-7","M&#225;laga, Spain","ACM","New York, NY, USA"
"article","3101437","Gemma  Catolino and Fabio  Palomba and Andrea  De Lucia and Filomena  Ferrucci and Andy  Zaidman","","","","Developer-related Factors in Change Prediction: An Empirical Assessment","186--195","","10","change prediction, empirical studies, mining software repositories","10.1109/ICPC.2017.19","","","","","","","2017","","Proceedings of the 25th International Conference on Program Comprehension","ICPC '17","","978-1-5386-0535-6","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","3127064","Assaf  Marron","","","","A Reactive Specification Formalism for Enhancing System Development, Analysis and Adaptivity","161--164","","4","","10.1145/3127041.3127064","","","","","","","2017","","Proceedings of the 15th ACM-IEEE International Conference on Formal Methods and Models for System Design","MEMOCODE '17","","978-1-4503-5093-8","Vienna, Austria","ACM","New York, NY, USA"
"article","3136005","Lionel  Parreaux and Amir  Shaikhha and Christoph E.  Koch","","","","Squid: Type-safe, Hygienic, and Reusable Quasiquotes","56--66","","11","Embedded Domain-Specific Languages, Quasiquotes, Type-Safety","10.1145/3136000.3136005","","","","","","","2017","","Proceedings of the 8th ACM SIGPLAN International Symposium on Scala","SCALA 2017","","978-1-4503-5529-2","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","1321661","Derek  Rayside and Lucy  Mendel","","","","Object Ownership Profiling: A Technique for Finding and Fixing Memory Leaks","194--203","","10","java, memory leaks, object ownership","10.1145/1321631.1321661","","","","","","","2007","","Proceedings of the Twenty-second IEEE/ACM International Conference on Automated Software Engineering","ASE '07","","978-1-59593-882-4","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2568260","Georgios  Gousios and Martin  Pinzger and Arie van  Deursen","","","","An Exploratory Study of the Pull-based Software Development Model","345--355","","11","Pull-based development, distributed software development, empirical software engineering, pull request","10.1145/2568225.2568260","","","","","","","2014","","Proceedings of the 36th International Conference on Software Engineering","ICSE 2014","","978-1-4503-2756-5","Hyderabad, India","ACM","New York, NY, USA"
"article","1669174","Mohit  Tiwari and Xun  Li and Hassan M. G. Wassel and Frederic T. Chong and Timothy  Sherwood","","","","Execution Leases: A Hardware-supported Mechanism for Enforcing Strong Non-interference","493--504","","12","covert channels, gate level information flow tracking, high assurance systems, timing channels","10.1145/1669112.1669174","","","","","","","2009","","Proceedings of the 42Nd Annual IEEE/ACM International Symposium on Microarchitecture","MICRO 42","","978-1-60558-798-1","New York, New York","ACM","New York, NY, USA"
